1 10 100 1000 10000 1 10 100 1000 10000 1 10 100 1000 10000 1 10 100 1000 10000
2 20 200 2000 20000 1 10 100 1000 10000 1 10 100 1000 10000 1 10 100 1000 10000
3 30 300 3000 30000 1 10 100 1000 10000 1 10 100 1000 10000 1 10 100 1000 10000
4 40 400 4000 40000 1 10 100 1000 10000 1 10 100 1000 10000 1 10 100 1000 10000
5 50 500 5000 50000 1 10 100 1000 10000 1 10 100 1000 10000 1 10 100 1000 10000
6 60 600 6000 60000 1 10 100 1000 10000 1 10 100 1000 10000 1 10 100 1000 10000
1 10 100 1000 10000 1 10 100 1000 10000 1 10 100 1000 10000 1 10 100 1000 10000
2 20 200 2000 20000 1 10 100 1000 10000 1 10 100 1000 10000 1 10 100 1000 10000
3 30 300 3000 30000 1 10 100 1000 10000 1 10 100 1000 10000 1 10 100 1000 10000
4 40 400 4000 40000 1 10 100 1000 10000 1 10 100 1000 10000 1 10 100 1000 10000
5 50 500 5000 50000 1 10 100 1000 10000 1 10 100 1000 10000 1 10 100 1000 10000
6 60 600 6000 60000 1 10 100 1000 10000 1 10 100 1000 10000 1 10 100 1000 10000
1 10 100 1000 10000 1 10 100 1000 10000 1 10 100 1000 10000 1 10 100 1000 10000
2 20 200 2000 20000 1 10 100 1000 10000 1 10 100 1000 10000 1 10 100 1000 10000
3 30 300 3000 30000 1 10 100 1000 10000 1 10 100 1000 10000 1 10 100 1000 10000
